customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-00155,Female,0,No,No,72,1,No,DSL,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer,84.07,6053.04,No
CUST-00156,Male,0,Yes,Yes,60,1,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,82.49,4949.4,Yes
CUST-00157,Female,1,No,No,5,1,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer,46.05,230.25,No
CUST-00158,Female,0,Yes,No,51,1,No,No,No,No,No,No,No,No,One year,No,Bank transfer,42.36,2160.36,No
CUST-00159,Female,1,Yes,No,23,1,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer,36.86,847.78,Yes
CUST-00160,Male,1,No,No,1,1,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,47.52,47.52,No
CUST-00161,Female,0,Yes,Yes,21,1,Yes,No,No,No,No,No,No,No,Two year,Yes,Mailed check,46.02,966.42,No
CUST-00162,Male,0,No,No,35,1,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer,88.3,3090.5,No
CUST-00163,Female,1,No,No,2,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,104.2,208.4,No
CUST-00164,Female,0,No,Yes,51,1,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,79.81,4070.31,No
CUST-00165,Female,0,Yes,No,33,1,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,104.24,3439.92,Yes
CUST-00166,Male,0,Yes,Yes,71,1,Yes,No,No,No,No,No,No,No,Two year,Yes,Mailed check,55.63,3949.73,No
CUST-00167,Male,0,Yes,No,63,1,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,52.87,3330.81,Yes
CUST-00168,Male,0,Yes,No,56,1,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,95.3,5336.8,No
CUST-00169,Male,0,No,Yes,45,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer,101.52,4568.4,No
CUST-00170,Female,0,No,No,66,1,Yes,No,No,No,No,No,No,No,One year,No,Mailed check,55.83,3684.78,No
CUST-00171,Male,0,No,Yes,51,1,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,41.45,2113.95,No
CUST-00172,Female,0,No,Yes,34,1,Yes,No,No,No,No,No,No,No,Two year,No,Credit card,48.73,1656.82,Yes
CUST-00173,Female,0,Yes,No,50,1,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card,96.11,4805.5,No
CUST-00174,Female,0,No,No,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer,84.13,6057.36,No
CUST-00175,Male,0,No,No,8,0,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.07,192.56,No
CUST-00176,Female,1,Yes,No,68,1,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,80.3,5460.4,Yes
CUST-00177,Male,0,Yes,Yes,55,1,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,41.63,2289.65,No
CUST-00178,Female,1,Yes,No,47,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card,83.74,3935.78,No
CUST-00179,Female,1,Yes,Yes,67,1,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card,93.78,6283.26,No
CUST-00180,Male,0,Yes,No,53,1,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,77.93,4130.29,No
CUST-00181,Male,0,Yes,Yes,24,1,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer,96.42,2314.08,No
CUST-00182,Male,0,Yes,Yes,14,1,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,40.19,562.66,No
CUST-00183,Male,0,Yes,Yes,22,1,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,40.09,881.98,No
CUST-00184,Male,0,No,No,70,1,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,51.74,3621.8,Yes
CUST-00185,Female,0,Yes,No,38,0,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.66,747.08,No
CUST-00186,Female,0,Yes,Yes,27,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer,77.11,2081.97,No
CUST-00187,Female,0,No,Yes,12,1,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card,108.8,1305.6,No
CUST-00188,Female,0,Yes,No,62,1,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,98.92,6133.04,Yes
CUST-00189,Female,0,No,Yes,65,0,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,47.83,3108.95,No
CUST-00190,Male,0,No,Yes,36,1,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer,87.91,3164.76,No
CUST-00191,Female,0,No,Yes,55,1,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,95.48,5251.4,No
CUST-00192,Female,0,No,No,20,1,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Credit card,80.9,1618.0,No
CUST-00193,Female,1,Yes,No,26,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,98.66,2565.16,No
CUST-00194,Male,0,Yes,Yes,42,1,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,78.35,3290.7,Yes
CUST-00195,Male,0,No,No,44,1,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,54.93,2416.92,No
CUST-00196,Male,0,Yes,Yes,57,1,Yes,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,77.03,4390.71,No
CUST-00197,Male,0,No,Yes,8,1,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,94.02,752.16,No
CUST-00198,Female,1,No,No,12,1,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,54.65,655.8,No
CUST-00199,Female,1,No,Yes,47,0,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card,63.75,2996.25,No
